"","address_id","change_id","address_type","address_number","suburb_locality","town_city","full_address_number","full_road_name","full_address","road_section_id","gd2000_xcoord","gd2000_ycoord","suburb_locality_ascii","town_city_ascii","full_road_name_ascii","full_address_ascii","unit_value","address_number_suffix"
"15",2107871,2958190,"Road",126,"Christchurch Central","Christchurch","201/126","Oxford Terrace","201/126 Oxford Terrace, Christchurch Central, Christchurch",44864,172.6341,-43.5327,"Christchurch Central","Christchurch","Oxford Terrace","201/126 Oxford Terrace, Christchurch Central, Christchurch","201",NA
"16",2107810,2958010,"Road",79,"Christchurch Central","Christchurch","102/79","Cashel Street","102/79 Cashel Street, Christchurch Central, Christchurch",44872,172.6344,-43.533,"Christchurch Central","Christchurch","Cashel Street","102/79 Cashel Street, Christchurch Central, Christchurch","102",NA
"17",2107805,2958004,"Road",93,"Christchurch Central","Christchurch","93A","Cambridge Terrace","93A Cambridge Terrace, Christchurch Central, Christchurch",37106,172.6325,-43.5327,"Christchurch Central","Christchurch","Cambridge Terrace","93A Cambridge Terrace, Christchurch Central, Christchurch",NA,"A"
"18",2117421,3229603,"Road",93,"Christchurch Central","Christchurch","93C","Cambridge Terrace","93C Cambridge Terrace, Christchurch Central, Christchurch",37106,172.6322,-43.5329,"Christchurch Central","Christchurch","Cambridge Terrace","93C Cambridge Terrace, Christchurch Central, Christchurch",NA,"C"
"19",2107869,2958188,"Road",126,"Christchurch Central","Christchurch","101/126","Oxford Terrace","101/126 Oxford Terrace, Christchurch Central, Christchurch",44864,172.6341,-43.5326,"Christchurch Central","Christchurch","Oxford Terrace","101/126 Oxford Terrace, Christchurch Central, Christchurch","101",NA
"20",220271,4901365,"Road",94,"Christchurch Central","Christchurch","94","Cashel Street","94 Cashel Street, Christchurch Central, Christchurch",44872,172.6345,-43.5334,"Christchurch Central","Christchurch","Cashel Street","94 Cashel Street, Christchurch Central, Christchurch",NA,NA
"21",2107811,2958011,"Road",79,"Christchurch Central","Christchurch","103/79","Cashel Street","103/79 Cashel Street, Christchurch Central, Christchurch",44872,172.6345,-43.533,"Christchurch Central","Christchurch","Cashel Street","103/79 Cashel Street, Christchurch Central, Christchurch","103",NA
"22",220151,1979950,"Road",60,"Christchurch Central","Christchurch","60","Cashel Street","60 Cashel Street, Christchurch Central, Christchurch",386255,172.632,-43.5333,"Christchurch Central","Christchurch","Cashel Street","60 Cashel Street, Christchurch Central, Christchurch",NA,NA
"23",2107816,2958016,"Road",81,"Christchurch Central","Christchurch","81","Cashel Street","81 Cashel Street, Christchurch Central, Christchurch",44872,172.6345,-43.5329,"Christchurch Central","Christchurch","Cashel Street","81 Cashel Street, Christchurch Central, Christchurch",NA,NA
"24",2107806,2958005,"Road",93,"Christchurch Central","Christchurch","93B","Cambridge Terrace","93B Cambridge Terrace, Christchurch Central, Christchurch",37106,172.6322,-43.5328,"Christchurch Central","Christchurch","Cambridge Terrace","93B Cambridge Terrace, Christchurch Central, Christchurch",NA,"B"
"25",2107804,2958003,"Road",93,"Christchurch Central","Christchurch","93","Cambridge Terrace","93 Cambridge Terrace, Christchurch Central, Christchurch",37106,172.6323,-43.5327,"Christchurch Central","Christchurch","Cambridge Terrace","93 Cambridge Terrace, Christchurch Central, Christchurch",NA,NA
"26",2107878,2958199,"Road",136,"Christchurch Central","Christchurch","136","Oxford Terrace","136 Oxford Terrace, Christchurch Central, Christchurch",44864,172.6341,-43.5325,"Christchurch Central","Christchurch","Oxford Terrace","136 Oxford Terrace, Christchurch Central, Christchurch",NA,NA
"27",2107817,2958017,"Road",83,"Christchurch Central","Christchurch","83","Cashel Street","83 Cashel Street, Christchurch Central, Christchurch",44872,172.6345,-43.533,"Christchurch Central","Christchurch","Cashel Street","83 Cashel Street, Christchurch Central, Christchurch",NA,NA
"28",2107867,2958186,"Road",126,"Christchurch Central","Christchurch","2/126","Oxford Terrace","2/126 Oxford Terrace, Christchurch Central, Christchurch",44864,172.6344,-43.5327,"Christchurch Central","Christchurch","Oxford Terrace","2/126 Oxford Terrace, Christchurch Central, Christchurch","2",NA
"29",2107876,2958196,"Road",134,"Christchurch Central","Christchurch","102/134","Oxford Terrace","102/134 Oxford Terrace, Christchurch Central, Christchurch",44864,172.6341,-43.5325,"Christchurch Central","Christchurch","Oxford Terrace","102/134 Oxford Terrace, Christchurch Central, Christchurch","102",NA
"30",219848,4901364,"Road",100,"Christchurch Central","Christchurch","100","Cashel Street","100 Cashel Street, Christchurch Central, Christchurch",44872,172.6347,-43.5333,"Christchurch Central","Christchurch","Cashel Street","100 Cashel Street, Christchurch Central, Christchurch",NA,NA
"31",2107812,2958012,"Road",79,"Christchurch Central","Christchurch","104/79","Cashel Street","104/79 Cashel Street, Christchurch Central, Christchurch",44872,172.6346,-43.533,"Christchurch Central","Christchurch","Cashel Street","104/79 Cashel Street, Christchurch Central, Christchurch","104",NA
"32",220215,202977,"Road",79,"Christchurch Central","Christchurch","79","Cambridge Terrace","79 Cambridge Terrace, Christchurch Central, Christchurch",29258,172.632,-43.5336,"Christchurch Central","Christchurch","Cambridge Terrace","79 Cambridge Terrace, Christchurch Central, Christchurch",NA,NA
"33",1734550,1462859,"Road",23,"Christchurch Central","Christchurch","23","Lichfield Street","23 Lichfield Street, Christchurch Central, Christchurch",36373,172.6344,-43.534,"Christchurch Central","Christchurch","Lichfield Street","23 Lichfield Street, Christchurch Central, Christchurch",NA,NA
"34",2107879,2958200,"Road",138,"Christchurch Central","Christchurch","138","Oxford Terrace","138 Oxford Terrace, Christchurch Central, Christchurch",44864,172.6341,-43.5324,"Christchurch Central","Christchurch","Oxford Terrace","138 Oxford Terrace, Christchurch Central, Christchurch",NA,NA
